song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Burning Man,Dierks Bentley Featuring Brothers Osborne,45,80.0,45,11,6259736f-ddd6-4791-9c1e-2346d41f636f,not_danceable,rhy,male,not_aggressive,voice,117.904968262,D#,0.773548305035,not_happy
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,46,62.0,31,20,d3066bda-ac67-40db-ae21-dbc1c64b436b,,,,,,,,,
Good Girl,Dustin Lynch,47,89.0,47,8,98a1da94-13d9-4bcc-a0bd-820f9598b584,danceable,pop,male,not_aggressive,voice,161.596359253,G,0.903196156025,happy
Beautiful Crazy,Luke Combs,48,81.0,48,8,6d95ede5-1d26-43b4-b53a-56f2cbe0958b,,,,,,,,,
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,49,78.0,49,5,6162d588-4536-4eaa-902b-5b206a9c8d61,,,,,,,,,
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,84.0,50,12,abd4796b-fbeb-4996-8489-5545f56eb3bd,,,,,,,,,
Consequences,Camila Cabello,51,75.0,51,9,4e5937a1-c276-427d-8d50-b788f4245c73,,,,,,,,,
Girl Like You,Jason Aldean,52,87.0,52,6,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Last Shot,Kip Moore,53,96.0,53,7,a25bedd9-1be6-4cb1-b4ff-ea0f2006df06,danceable,roc,male,not_aggressive,voice,147.974014282,E,0.938902497292,happy
Look Back At It,A Boogie Wit da Hoodie,54,66.0,54,4,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,55,77.0,28,10,046e4997-7da3-49ab-bf43-b39bbc75149b,,,,,,,,,
Armed And Dangerous,Juice WRLD,56,76.0,44,8,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
This Is It,Scotty McCreery,57,100.0,57,4,aec07661-9222-464f-9563-99611a159ae8,not_danceable,roc,female,not_aggressive,instrumental,155.680618286,G#,0.880137860775,happy
Calling My Spirit,Kodak Black,58,74.0,46,5,d8ff611d-b2d5-4808-be8a-ec9f40171cab,danceable,rhy,male,not_aggressive,voice,119.961242676,A#,0.340007573366,not_happy
You,Jacquees,59,85.0,59,6,6c1c25e2-abd8-48d6-a951-977c06e5b6b2,,,,,,,,,
No Stylist,French Montana Featuring Drake,60,90.0,47,15,85df07aa-4b16-4d77-9f56-c2a24f1e9b2d,,,,,,,,,
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,65.0,61,2,20714476-804f-4217-9b57-63f08008d652,danceable,hip,female,not_aggressive,instrumental,95.9862747192,A#,0.914168536663,not_happy
Electricity,Silk City x Dua Lipa,62,,62,7,89a26a81-05b9-4083-9639-b180fc341d82,not_danceable,dan,female,not_aggressive,instrumental,144.634460449,C,0.927419126034,happy
Imagine,Ariana Grande,63,71.0,24,3,4c29857e-06f1-4c17-b459-e7f74651f74f,,,,,,,,,
Ella Quiere Beber,Anuel AA & Romeo Santos,64,92.0,64,9,3d5c1a12-cd23-472d-96cb-7ca132f470c9,danceable,rhy,female,not_aggressive,instrumental,94.9251174927,G#,0.967547297478,not_happy
Can't Leave Without It,21 Savage,65,58.0,58,2,a82d6fa1-0f3e-4a44-a18a-c43d5e6afe71,danceable,rhy,male,not_aggressive,voice,131.968734741,A,0.771034955978,not_happy
Envy Me,Calboy,66,98.0,66,3,fe1d5d7a-0697-4a51-8f5e-1ea68b03dc4d,,,,,,,,,
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,,56,18,cb11d149-df69-405f-b837-3053def3de75,danceable,hip,female,not_aggressive,voice,98.9804000854,F,0.921498537064,happy
When The Party's Over,Billie Eilish,68,82.0,52,11,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy
