song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
Backin' It Up,2019-02-16,Pardison Fontaine Featuring Cardi B,48,47.0,40,17,737b1774-76b5-428d-a7e8-e6d127f0a2d9,,,,,,,,,
Lost In The Fire,2019-02-16,Gesaffelstein & The Weeknd,49,42.0,27,4,704c3bd0-e889-42bb-9c34-34c2a79a7060,danceable,dan,female,not_aggressive,voice,100.971824646,G,0.912136137486,not_happy
Girl Like You,2019-02-16,Jason Aldean,51,48.0,46,11,33d698bb-382f-48ef-8938-6e8f3af45fd8,danceable,pop,male,aggressive,voice,143.967468262,D#,0.899889886379,not_happy
Undecided,2019-02-16,Chris Brown,54,54.0,35,5,91b675f6-d2f4-4061-918d-e5c8063eac84,danceable,pop,female,not_aggressive,instrumental,128.075271606,A#,0.906947493553,not_happy
Sixteen,2019-02-16,Thomas Rhett,55,50.0,42,13,4ac01c59-c53e-433e-8908-ef536a0a97ec,,,,,,,,,
One Call,2019-02-16,Gunna,56,,56,1,36d93581-fca5-4888-82a7-594465669d7d,danceable,hip,female,not_aggressive,voice,147.021957397,A,0.712452530861,not_happy
Pure Cocaine,2019-02-16,Lil Baby,57,56.0,46,9,8cc74581-e677-4851-ad27-83d05515fd36,danceable,hip,female,not_aggressive,voice,126.982345581,A#,0.967274606228,not_happy
Take It From Me,2019-02-16,Jordan Davis,58,68.0,58,6,37b94577-62f8-4bab-8c60-6715fb9f9130,danceable,pop,male,not_aggressive,voice,99.9436645508,A#,0.955841362476,not_happy
Put A Date On It,2019-02-16,Yo Gotti Featuring Lil Baby,59,65.0,59,2,e5f7fed2-4c4e-432d-bb6b-d0d21d9e64cb,,,,,,,,,
When The Party's Over,2019-02-16,Billie Eilish,61,76.0,52,16,c3db7bfe-c83c-413e-9596-07007532d0b6,not_danceable,rhy,female,not_aggressive,voice,123.196617126,A,0.46400269866,not_happy
Armed And Dangerous,2019-02-16,Juice WRLD,62,60.0,44,13,80cbf2b8-3a77-40c9-9f3f-95010bbb6ff3,,,,,,,,,
