song,date,artist,this_week,last_week,peak_position,weeks_on_chart,mbid
Goodnight My Love,1969-01-18,Paul Anka,47,83,47,3,de3b3189-fe82-45bf-80b4-156e0d96eb51
Ramblin' Gamblin' Man,1969-01-18,Bob Seger System,48,54,48,5,2d7bc711-ac32-4de2-978e-b2e4f9a679c2
Does Anybody Know I'm Here,1969-01-18,The Dells,49,64,49,4,b0f7df5d-9968-47c9-a8be-4efdc261dbbd
Rainbow Ride,1969-01-18,Andy Kim,50,60,50,5,57648fc1-b318-47d7-bb64-9c115b6bb72b
My Favorite Things,1969-01-18,Herb Alpert & The Tijuana Brass,54,45,45,6,d9f138cc-9ff7-45db-86c2-13f5cf4c51b9
A Minute Of Your Time,1969-01-18,Tom Jones,55,55,55,5,771dfa4f-03e9-490f-a485-6b5488ad8239
Crosstown Traffic,1969-01-18,The Jimi Hendrix Experience,56,53,52,8,71f3b824-fc25-4d54-9f45-bcf935e736be
Condition Red,1969-01-18,The Goodees,57,74,57,5,efd1204c-18fe-4bb1-ac6e-2e1c0d9e9805
Things I'd Like To Say,1969-01-18,New Colony Six,58,82,58,4,3879d29c-2eb3-41ce-aecd-f44e5ad0e59b
You Got Soul,1969-01-18,Johnny Nash,59,70,59,6,c06609dd-71c6-42db-9aea-3ab17d84b0f3
Not On The Outside,1969-01-18,The Moments,60,75,60,4,93ace5b7-71cb-4cc2-b8e5-91ac9358dd7e
Feelin' So Good (S.k.o.o.b.y-D.o.o),1969-01-18,The Archies,61,63,61,4,a08b334b-75a6-435c-9c5a-707661ee5e6f
Games People Play,1969-01-18,Joe South,62,91,62,2,df54f5d0-6fe2-49cb-ad9c-c690e2e47632
Bluebirds Over The Mountain,1969-01-18,The Beach Boys,63,62,61,6,d5ab1e20-6436-4d8c-a5a7-7f4b059173eb
"Sweet Cream Ladies, Forward March",1969-01-18,The Box Tops,64,73,64,4,cdd1d25a-aff7-429a-b867-f42490c0317b
Rain In My Heart,1969-01-18,Frank Sinatra,66,81,66,3,89039afe-bc2c-460e-b22c-f117d77c70f7
Take Care Of Your Homework,1969-01-18,Johnnie Taylor,67,,67,1,45c171ba-9e5a-4952-9d83-6f473c8e1e75
Isn't It Lonely Together,1969-01-18,O.C. Smith,68,68,63,6,bb88086c-5cb4-4512-98dd-f19ae5a55025
I Forgot To Be Your Lover,1969-01-18,William Bell,69,78,69,3,d47b1870-2e55-4d4c-bf70-fadb040efffe
But You Know I Love You,1969-01-18,The First Edition,71,,71,1,0d274ae2-b876-4346-94c2-4f4928594c16
Malinda,1969-01-18,Bobby Taylor & The Vancouvers,72,57,48,7,ff70c505-9e73-44b0-8ded-a86451dfdffd
Looking Back,1969-01-18,Joe Simon,73,94,73,5,18fff3be-5fe6-4edd-95ab-127a5eaa0ed5
I Got A Line On You,1969-01-18,Spirit,74,,74,1,27b913ff-5fcd-4b53-a6a0-a2a7cca52e40
Tragedy,1969-01-18,Brian Hyland,75,98,75,2,82b6fa3c-3acf-4044-9fd4-afb0915045ed
There'll Come A Time,1969-01-18,Betty Everett,76,,76,1,8685ec9d-0a54-456d-a0d3-af56e6ee0f04
Home Cookin,1969-01-18,Jr. Walker & The All Stars,77,,77,1,e01336a1-b765-4b02-90fb-ded89d4a866a
He Called Me Baby,1969-01-18,Ella Washington,78,,78,1,2a6d11db-5665-4b06-baa2-b55936674232
Riot,1969-01-18,Hugh Masekela,79,97,79,2,e014470a-bb5e-4ee0-96e3-f03dda5083a5
Almost Persuaded,1969-01-18,Etta James,80,,80,1,a56e7e00-7ada-468c-9c4a-e2c437c1b4ac
Getting The Corners,1969-01-18,The T.S.U. Toronadoes,82,,82,1,a5b7201b-f203-43e6-a531-514da849992a
The Thought Of Loving You,1969-01-18,The Crystal Mansion,84,84,84,5,b5dc98e1-27bc-4ca5-9243-aaa4921ea511
She's A Lady,1969-01-18,John Sebastian,85,85,85,3,55594ec6-493b-4a07-830b-79b599bccef1
Eloise,1969-01-18,Barry Ryan,86,86,86,4,80128eec-51f4-4b93-9dba-3c68986a54c9
Poor Side Of Town,1969-01-18,Al Wilson,88,,88,1,e25fbc6d-ab42-489c-a167-941e740b5acd
May I,1969-01-18,Bill Deal & The Rhondels,89,,89,1,edbdaab8-9e7f-4eac-841c-30271ab753c2
The Grooviest Girl In The World,1969-01-18,The Fun And Games,90,,90,1,3a4e7297-bdfe-4210-8c74-457356092dd7
You've Got The Power,1969-01-18,The Esquires,92,93,92,4,d306fe29-ce10-4a99-a01f-1da7789d5247
