song,artist,this_week,last_week,peak_position,weeks_on_chart
You Got Soul,Johnny Nash,58,59,58,7
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,59,61,59,5
I Forgot To Be Your Lover,William Bell,60,69,60,4
"Sweet Cream Ladies, Forward March",The Box Tops,61,64,61,5
Proud Mary,Creedence Clearwater Revival,62,,62,1
Give It Up Or Turnit A Loose,James Brown,63,,63,1
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",64,65,64,5
Rain In My Heart,Frank Sinatra,65,66,65,4
But You Know I Love You,The First Edition,66,71,66,2
This Old Heart Of Mine (Is Weak For You),Tammi Terrell,67,97,67,2
Home Cookin,Jr. Walker & The All Stars,68,77,68,2
There'll Come A Time,Betty Everett,69,76,69,2
Looking Back,Joe Simon,70,73,70,6
Riot,Hugh Masekela,71,79,71,3
River Deep-Mountain High,Deep Purple,72,,72,1
I Got A Line On You,Spirit,73,74,73,2
Tragedy,Brian Hyland,74,75,74,3
Poor Side Of Town,Al Wilson,75,88,75,2
I'm Gonna Hold On Long As I Can,The Marvelettes,76,94,76,2
He Called Me Baby,Ella Washington,77,78,77,2
Purple Haze,Dion,78,,78,1
Almost Persuaded,Etta James,79,80,79,2
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,80,81,80,4
Getting The Corners,The T.S.U. Toronadoes,81,82,81,2
The Greatest Love,Dorsey Burnette,82,,82,1
Kay,"John Wesley Ryles, I",83,83,83,5
She's A Lady,John Sebastian,84,85,84,4
Indian Giver,1910 Fruitgum Co.,85,,85,1
The Grooviest Girl In The World,The Fun And Games,86,90,86,2
Bubble Gum Music,Rock & Roll Double Bubble,87,87,87,2
That's Your Baby,Joe Tex,88,100,88,2
May I,Bill Deal & The Rhondels,89,89,89,2
Let It Be Me,Glen Campbell & Bobbie Gentry,90,,90,1
You've Got The Power,The Esquires,91,92,91,5
Kum Ba Yah,Tommy Leonetti,92,93,92,2
The Carroll County Accident,Porter Wagoner,93,,93,1
Ain't Got No; I Got Life,Nina Simone,94,95,94,4
Will You Be Staying After Sunday,The Peppermint Rainbow,95,96,95,2
Mendocino,Sir Douglas Quintet,96,99,96,2
Fox On The Run,Manfred Mann,97,98,97,2
Please Don't Desert Me Baby,Gloria Walker/Chevelles,98,,98,1
Crossroads,Cream,99,,99,1
Hey! Baby,Jose Feliciano,100,,100,1
Crimson And Clover,Tommy James And The Shondells,1,2,1,8
Everyday People,Sly & The Family Stone,2,5,2,10
Worst That Could Happen,Brooklyn Bridge,3,8,3,7
Touch Me,The Doors,4,7,4,6
I Heard It Through The Grapevine,Marvin Gaye,5,1,1,11
I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,6,3,2,9
I Started A Joke,Bee Gees,7,9,7,7
Hooked On A Feeling,B.J. Thomas,8,6,5,12
Soulful Strut,Young-Holt Unlimited,9,4,3,10
Build Me Up Buttercup,The Foundations,10,28,10,5
Can I Change My Mind,Tyrone Davis,11,12,11,7
If I Can Dream,Elvis Presley,12,16,12,10
Hang 'Em High,Booker T. & The MG's,13,15,13,13
Son-Of-A Preacher Man,Dusty Springfield,14,10,10,10
Going Up The Country,Canned Heat,15,11,11,9
This Magic Moment,Jay & The Americans,16,37,16,6
You Showed Me,The Turtles,17,34,17,5
Wichita Lineman,Glen Campbell,18,13,3,14
Stand By Your Man,Tammy Wynette,19,22,19,13
Ramblin' Gamblin' Man,Bob Seger System,20,33,20,7
There's Gonna Be A Showdown,Archie Bell & The Drells,21,21,21,8
I'm Livin' In Shame,Diana Ross & The Supremes,22,47,22,2
Hey Jude,Wilson Pickett,23,25,23,7
I've Gotta Be Me,Sammy Davis Jr.,24,32,24,8
Lo Mucho Que Te Quiero (The More I Love You),Rene & Rene,25,24,14,11
Cinnamon,Derek,26,18,11,15
California Soul,The 5th Dimension,27,29,27,7
"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,28,31,28,5
Love Child,Diana Ross & The Supremes,29,19,1,16
Cloud Nine,The Temptations,30,17,6,12
For Once In My Life,Stevie Wonder,31,14,2,14
I Love How You Love Me,Bobby Vinton,32,20,9,14
Too Weak To Fight,Clarence Carter,33,23,13,13
Games People Play,Joe South,34,52,34,4
Baby Let's Wait,The Royal Guardsmen,35,36,35,12
Goodnight My Love,Paul Anka,36,45,36,5
Take Care Of Your Homework,Johnnie Taylor,37,40,37,3
The Beginning Of My End,The Unifics,38,38,38,8
Stormy,Classics IV Featuring Dennis Yost,39,26,5,15
This Is My Country,The Impressions,40,30,25,10
"Soul Sister, Brown Sugar",Sam & Dave,41,50,41,7
Give It Up Or Turnit A Loose,James Brown,42,63,42,2
Are You Happy,Jerry Butler,43,39,39,9
But You Know I Love You,The First Edition,44,66,44,3
Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,45,35,35,9
Soulshake,Peggy Scott & Jo Jo Benson,46,,46,1
Does Anybody Know I'm Here,The Dells,47,48,47,6
Home Cookin,Jr. Walker & The All Stars,48,68,48,3
A Minute Of Your Time,Tom Jones,49,54,49,7
Things I'd Like To Say,New Colony Six,50,56,50,6
"Sweet Cream Ladies, Forward March",The Box Tops,51,61,51,6
Indian Giver,1910 Fruitgum Co.,52,85,52,2
Feelin' So Good (S.k.o.o.b.y-D.o.o),The Archies,53,59,53,6
Condition Red,The Goodees,54,55,54,7
Proud Mary,Creedence Clearwater Revival,55,62,55,2
Daddy Sang Bass,Johnny Cash,56,53,53,6
"Ob-La-Di, Ob-La-Da",Arthur Conley,57,51,51,5
Rainbow Ride,Andy Kim,58,49,49,7
I Forgot To Be Your Lover,William Bell,59,60,59,5
California Dreamin',Bobby Womack,60,43,43,9
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",61,64,61,6
Rain In My Heart,Frank Sinatra,62,65,62,5
There'll Come A Time,Betty Everett,63,69,63,3
Not On The Outside,The Moments,64,57,57,6
Crossroads,Cream,65,99,65,2
River Deep-Mountain High,Deep Purple,66,72,66,2
This Old Heart Of Mine (Is Weak For You),Tammi Terrell,67,67,67,3
Riot,Hugh Masekela,68,71,68,4
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell,69,,69,1
I Got A Line On You,Spirit,70,73,70,3
